# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B026    2007.323_5.0 5.0 388.68 -8.797015
 B003    2010.277_5.3 5.3 409.59 -8.797142
 B036    2013.201_4.8 4.8 288.89 -8.797521
 B032    2011.067_5.1 5.1 485.28 -8.797990
 B926    2012.232_5.0 5.0 390.21 -8.801089
 B014    2010.277_5.3 5.3 454.64 -8.801248
 B019    2011.244_4.8 4.8 488.23 -8.803968
 B003    2012.179_5.1 5.1 418.64 -8.806618
 B040    2007.345_4.9 4.9 356.06 -8.807286
 B007    2012.179_5.1 5.1 463.97 -8.809137
 B007    2012.232_5.0 5.0 417.76 -8.809252
 B035    2009.241_5.1 5.1 461.70 -8.809756
 B030    2010.325_5.0 5.0 401.38 -8.810065
 B001    2012.232_5.0 5.0 445.23 -8.810073
 B005    2012.179_5.1 5.1 463.96 -8.811894
 B033    2010.325_5.0 5.0 370.29 -8.812544
 B032    2013.201_4.8 4.8 283.31 -8.813213
 B022    2007.119_4.8 4.8 401.57 -8.814862
 B040    2008.194_5.0 5.0 390.15 -8.816599
 B012    2008.238_5.1 5.1 264.46 -8.818619
 B045    2011.039_4.8 4.8 474.62 -8.819082
 B024    2009.241_4.8 4.8 430.59 -8.820734
 B036    2007.283_5.0 5.0 392.63 -8.822065
 B031    2011.067_5.1 5.1 485.05 -8.822388
 B035    2012.270_4.8 4.8 276.67 -8.823885
 B014    2012.232_5.0 5.0 393.29 -8.827175
 B067    2009.219_5.0 5.0 474.98 -8.828145
 B009    2008.255_5.1 5.1 436.31 -8.828178
 B027    2013.201_4.8 4.8 344.72 -8.829543
 B027    2012.188_4.8 4.8 402.81 -8.829640
 B014    2012.179_5.1 5.1 463.61 -8.830359
 B943    2008.255_5.1 5.1 461.13 -8.833769
 B022    2011.142_4.9 4.9 405.91 -8.834994
 B032    2012.277_5.0 5.0 487.67 -8.835791
 B935    2012.270_4.8 4.8 383.00 -8.840260
 B039    2008.194_5.0 5.0 402.10 -8.841114
 B927    2012.232_5.0 5.0 362.44 -8.842772
 B027    2007.323_5.0 5.0 415.99 -8.845264
 B933    2010.325_5.0 5.0 482.63 -8.847302
 B032    2009.241_5.0 5.0 426.01 -8.850604
 B010    2008.238_5.1 5.1 417.23 -8.852826
 B023    2012.270_4.8 4.8 447.10 -8.853199
 B018    2012.232_5.0 5.0 459.67 -8.854601
 B031    2012.277_5.0 5.0 487.43 -8.854719
 B020    2011.244_4.8 4.8 456.33 -8.855797
 B022    2008.194_5.0 5.0 398.23 -8.856280
 B024    2010.286_4.8 4.8 496.10 -8.857316
 B031    2009.241_4.8 4.8 432.39 -8.857598
 B030    2011.142_4.9 4.9 384.64 -8.859123
 B032    2008.201_5.0 5.0 486.06 -8.861985
 B020    2009.241_4.8 4.8 471.06 -8.864207
 B024    2011.217_4.8 4.8 457.14 -8.865219
 B045    2011.142_4.9 4.9 427.88 -8.865482
 B927    2008.238_5.1 5.1 320.72 -8.866695
 B022    2009.241_4.8 4.8 440.94 -8.867835
 B023    2010.325_5.0 5.0 472.84 -8.868867
 B031    2012.277_4.9 4.9 485.89 -8.869475
 B031    2009.106_5.0 5.0 485.18 -8.869575
 B030    2007.323_5.0 5.0 420.00 -8.870207
 B028    2008.300_5.0 5.0 486.21 -8.870701
 B024    2011.244_4.8 4.8 400.03 -8.874287
 B022    2009.349_4.7 4.7 449.37 -8.876106
 B032    2009.241_4.8 4.8 432.64 -8.881099
 B026    2009.349_4.7 4.7 425.76 -8.884678
 B933    2013.335_5.5 5.5 327.85 -8.885874
 B024    2012.188_4.8 4.8 394.65 -8.886291
 B065    2009.219_5.0 5.0 481.40 -8.886411
 B024    2013.222_4.8 4.8 425.66 -8.886699
 B045    2010.286_4.8 4.8 297.87 -8.888523
 B003    2012.232_5.0 5.0 370.72 -8.888978
 B040    2012.270_4.8 4.8 375.16 -8.892461
 B026    2012.232_5.0 5.0 472.59 -8.897775
 B036    2011.039_4.8 4.8 394.97 -8.899050
 B032    2012.258_4.9 4.9 478.99 -8.899397
 B033    2012.188_4.8 4.8 376.92 -8.899412
 B028    2009.241_5.1 5.1 465.96 -8.899704
 B026    2011.142_4.9 4.9 365.41 -8.900491
 B027    2010.325_5.0 5.0 398.41 -8.900788
 B026    2013.201_4.8 4.8 339.90 -8.901099
 B028    2010.325_5.0 5.0 398.17 -8.902405
 B005    2012.232_5.0 5.0 417.84 -8.903639
 B032    2009.106_5.0 5.0 485.42 -8.904374
 B031    2008.201_5.0 5.0 485.83 -8.905777
 B941    2012.047_4.9 4.9 485.21 -8.907320
 B022    2008.199_5.0 5.0 479.80 -8.908084
 B024    2013.201_4.8 4.8 364.59 -8.908873
 B036    2011.142_4.9 4.9 343.76 -8.910361
 B032    2010.325_5.0 5.0 348.64 -8.911441
 B026    2012.188_4.8 4.8 376.30 -8.913078
 B030    2012.188_4.8 4.8 406.82 -8.913670
 B026    2009.241_4.8 4.8 419.51 -8.914790
 B011    2008.238_5.1 5.1 417.46 -8.917027
 B032    2012.277_4.9 4.9 486.13 -8.918175
 B039    2012.270_4.8 4.8 387.36 -8.919753
 B026    2009.106_5.0 5.0 469.00 -8.920627
 B022    2011.244_4.8 4.8 418.35 -8.921196
 B045    2011.244_4.8 4.8 446.89 -8.922078
 B022    2009.106_5.0 5.0 487.00 -8.924221
 B039    2007.345_4.9 4.9 337.09 -8.924911
 B030    2009.241_4.8 4.8 480.08 -8.925867
 B019    2008.238_5.1 5.1 468.94 -8.926162
 B935    2011.142_4.9 4.9 448.74 -8.927133
 B030    2007.345_4.9 4.9 481.69 -8.927497
 B026    2011.244_4.8 4.8 380.73 -8.927649
 B014    2013.007_4.8 4.8 422.78 -8.934018
 B031    2011.142_4.9 4.9 330.51 -8.934803
 B035    2013.201_4.8 4.8 288.82 -8.935254
 B035    2007.119_4.8 4.8 322.14 -8.936010
 B022    2012.188_4.8 4.8 412.13 -8.937494
 B935    2013.201_4.8 4.8 398.58 -8.937670
 B026    2008.201_5.0 5.0 459.44 -8.938594
 B935    2010.325_5.0 5.0 470.53 -8.941771
 B026    2011.217_4.8 4.8 446.47 -8.942715
 B007    2008.238_5.1 5.1 421.81 -8.944686
 B928    2008.238_5.1 5.1 293.68 -8.944922
 B027    2009.241_4.8 4.8 466.74 -8.946780
 B045    2012.300_4.7 4.7 317.89 -8.948727
 B027    2011.217_4.8 4.8 493.92 -8.950279
 B006    2012.179_5.1 5.1 464.16 -8.950913
 B007    2013.007_4.8 4.8 428.03 -8.952814
 B035    2006.147_4.9 4.9 424.36 -8.953283
 B019    2013.201_4.8 4.8 463.71 -8.953454
 B010    2013.007_4.8 4.8 423.15 -8.953903
 B022    2008.201_5.0 5.0 473.87 -8.955163
 B001    2008.238_5.1 5.1 449.24 -8.955592
 B031    2010.325_5.0 5.0 348.35 -8.957036
 B011    2012.232_5.0 5.0 432.91 -8.957924
 B003    2008.238_5.1 5.1 375.51 -8.958852
 B028    2011.217_4.8 4.8 493.74 -8.961641
 B006    2012.232_5.0 5.0 418.02 -8.963096
 B006    2008.238_5.1 5.1 422.03 -8.966079
 B031    2007.345_4.9 4.9 424.62 -8.967919
 B935    2011.039_4.8 4.8 496.77 -8.968583
 B005    2008.238_5.1 5.1 421.83 -8.969067
 B003    2013.007_4.8 4.8 381.80 -8.969635
 B028    2012.188_4.8 4.8 402.57 -8.970804
 B933    2012.270_4.8 4.8 399.24 -8.970911
 B020    2013.201_4.8 4.8 430.64 -8.971837
 B022    2007.031_4.8 4.8 462.08 -8.972710
 B030    2009.349_4.7 4.7 481.01 -8.972977
 B036    2009.241_5.0 5.0 456.47 -8.973275
 B035    2011.142_4.9 4.9 343.70 -8.973521
 B045    2012.188_4.8 4.8 457.82 -8.974079
 B032    2011.217_4.8 4.8 458.87 -8.974196
 B027    2009.349_4.7 4.7 469.58 -8.974696
 B023    2011.244_4.8 4.8 479.68 -8.980451
 B031    2009.349_4.7 4.7 432.03 -8.982934
 B927    2013.007_4.8 4.8 326.22 -8.983782
 B014    2008.238_5.1 5.1 416.41 -8.985618
 B031    2011.217_4.8 4.8 458.62 -8.986459
 B039    2013.201_4.8 4.8 401.43 -8.988889
 B036    2010.286_4.8 4.8 312.23 -8.991516
 B031    2012.188_4.8 4.8 354.34 -8.993031
 B032    2009.349_4.7 4.7 432.30 -8.993528
 B033    2009.241_5.0 5.0 452.97 -8.994535
 B022    2006.243_4.8 4.8 448.02 -8.995837
 B023    2012.047_4.9 4.9 483.59 -8.998381
 B032    2012.188_4.8 4.8 354.62 -8.998447
 B943    2012.232_5.0 5.0 460.36 -8.999380
 B006    2013.007_4.8 4.8 428.24 -9.002365
 B033    2013.222_4.8 4.8 430.66 -9.003558
 B028    2009.349_4.7 4.7 469.39 -9.003885
 B040    2010.325_5.0 5.0 465.73 -9.007846
 B926    2008.238_5.1 5.1 366.99 -9.008021
 B022    2013.222_4.8 4.8 439.42 -9.008932
 B031    2012.258_4.9 4.9 478.74 -9.010049
 B026    2010.286_4.8 4.8 467.19 -9.018560
 B023    2011.039_4.8 4.8 490.90 -9.019846
 B031    2008.199_5.0 5.0 486.69 -9.020872
 B022    2013.201_4.8 4.8 388.14 -9.021083
 B933    2013.201_4.8 4.8 414.84 -9.021259
 B058    2009.219_5.0 5.0 471.02 -9.023015
 B005    2013.007_4.8 4.8 428.05 -9.023235
 B035    2007.042_5.0 5.0 366.51 -9.023774
 B023    2012.232_5.0 5.0 482.20 -9.027540
 B040    2013.201_4.8 4.8 388.49 -9.032187
 B934    2011.142_4.9 4.9 494.95 -9.035077
 B079    2013.044_5.3 5.3 323.93 -9.035209
 B033    2011.217_4.8 4.8 485.75 -9.037217
 B934    2012.270_4.8 4.8 432.29 -9.039761
 B035    2011.039_4.8 4.8 394.91 -9.044111
 B933    2011.142_4.9 4.9 461.60 -9.047204
 B934    2013.201_4.8 4.8 447.89 -9.051064
 B027    2010.286_4.8 4.8 445.83 -9.054204
 B036    2012.188_4.8 4.8 373.02 -9.054501
 B036    2009.349_4.7 4.7 460.34 -9.055322
 B035    2010.325_5.0 5.0 365.21 -9.056425
 B009    2008.238_5.1 5.1 417.25 -9.057123
 B040    2011.039_4.8 4.8 495.32 -9.061074
 B011    2013.007_4.8 4.8 423.39 -9.061277
 B935    2012.188_4.8 4.8 479.07 -9.062064
 B022    2007.031_4.6 4.6 440.45 -9.062639
 B036    2007.323_5.0 5.0 384.56 -9.063059
 B024    2007.031_4.8 4.8 436.58 -9.063321
 B026    2008.199_5.0 5.0 464.08 -9.063791
 B017    2008.238_5.1 5.1 456.92 -9.065679
 B032    2008.199_5.0 5.0 486.93 -9.067083
 B040    2007.323_5.0 5.0 484.70 -9.067212
 B036    2010.325_5.0 5.0 365.27 -9.068947
 B933    2010.286_4.8 4.8 323.61 -9.070524
 B024    2007.031_4.6 4.6 415.01 -9.072232
 B030    2013.222_4.8 4.8 456.48 -9.073512
 B204    2012.270_4.8 4.8 498.26 -9.076091
 B026    2012.258_4.9 4.9 463.41 -9.080205
 B033    2010.286_4.8 4.8 361.20 -9.080431
 B035    2007.031_4.8 4.8 298.43 -9.087513
 B040    2011.142_4.9 4.9 443.70 -9.088626
 B933    2011.244_4.8 4.8 479.83 -9.088778
 B039    2007.323_5.0 5.0 497.21 -9.089007
 B032    2012.300_4.7 4.7 350.53 -9.089069
 B033    2009.241_4.8 4.8 460.24 -9.089560
 B036    2009.241_4.8 4.8 464.96 -9.090516
 B033    2011.244_4.8 4.8 373.64 -9.094848
 B027    2011.244_4.8 4.8 403.78 -9.097283
 B026    2013.222_4.8 4.8 411.04 -9.099449
 B032    2010.286_4.8 4.8 362.97 -9.105931
 B028    2010.286_4.8 4.8 445.47 -9.106451
 B032    2013.222_4.8 4.8 406.17 -9.108731
 B032    2011.244_4.8 4.8 352.75 -9.109248
 B018    2008.238_5.1 5.1 494.39 -9.111847
 B036    2011.217_4.8 4.8 488.21 -9.116291
 B024    2012.300_4.7 4.7 473.08 -9.116604
 B030    2010.286_4.8 4.8 423.01 -9.117938
 B935    2010.286_4.8 4.8 326.57 -9.118335
 B028    2009.241_4.8 4.8 466.57 -9.119675
 B039    2010.325_5.0 5.0 478.66 -9.127444
 B035    2009.241_5.0 5.0 456.44 -9.128188
 B030    2011.244_4.8 4.8 405.92 -9.128862
 B033    2012.300_4.7 4.7 352.51 -9.130727
 B031    2011.244_4.8 4.8 352.46 -9.131394
 B934    2010.286_4.8 4.8 356.93 -9.139846
 B028    2009.308_5.3 5.3 358.04 -9.149689
 B026    2012.222_4.8 4.8 489.54 -9.151932
 B935    2011.239_4.8 4.8 485.93 -9.155708
 B943    2013.007_4.8 4.8 477.14 -9.157982
 B035    2013.222_4.8 4.8 429.34 -9.158537
 B027    2012.300_4.7 4.7 429.64 -9.162535
 B035    2010.286_4.8 4.8 312.03 -9.164100
 B039    2011.142_4.9 4.9 456.40 -9.165167
 B933    2012.188_4.8 4.8 491.08 -9.166064
 B013    2012.232_5.0 5.0 460.39 -9.166928
 B028    2013.222_4.8 4.8 447.92 -9.168135
 B036    2011.244_4.8 4.8 366.93 -9.168176
 B033    2009.349_4.7 4.7 458.58 -9.169306
 B028    2009.241_5.0 5.0 461.60 -9.171572
 B022    2012.300_4.7 4.7 499.30 -9.174747
 B030    2012.300_4.7 4.7 410.35 -9.174863
 B028    2012.300_4.7 4.7 429.29 -9.175275
 B040    2010.286_4.8 4.8 383.72 -9.177135
 B017    2013.201_4.8 4.8 499.60 -9.178643
 B031    2013.222_4.8 4.8 405.91 -9.179181
 B035    2009.349_4.7 4.7 460.30 -9.180296
 B009    2013.007_4.8 4.8 423.18 -9.180478
 B036    2013.222_4.8 4.8 429.39 -9.181509
 B935    2012.300_4.7 4.7 344.91 -9.184384
 B035    2012.188_4.8 4.8 372.97 -9.187091
 B934    2012.300_4.7 4.7 379.31 -9.190876
 B933    2012.300_4.7 4.7 345.80 -9.197553
 B031    2012.300_4.7 4.7 350.15 -9.198489
 B935    2011.244_4.8 4.8 468.56 -9.201715
 B028    2011.244_4.8 4.8 403.53 -9.203259
 B027    2013.222_4.8 4.8 448.13 -9.208734
 B040    2012.188_4.8 4.8 473.75 -9.211279
 B023    2013.201_4.8 4.8 443.90 -9.222268
 B031    2010.286_4.8 4.8 362.58 -9.224047
 B035    2011.244_4.8 4.8 366.87 -9.224305
 B013    2013.007_4.8 4.8 477.18 -9.238126
 B035    2009.241_4.8 4.8 464.92 -9.240441
 B035    2011.217_4.8 4.8 488.17 -9.242944
 B036    2012.300_4.7 4.7 310.45 -9.245552
 B040    2012.300_4.7 4.7 388.85 -9.257250
 B203    2013.201_4.8 4.8 489.47 -9.260502
 B039    2012.188_4.8 4.8 486.88 -9.261957
 B039    2010.286_4.8 4.8 381.38 -9.273451
 B039    2012.300_4.7 4.7 389.63 -9.279097
 B040    2011.244_4.8 4.8 466.57 -9.284970
 B935    2011.300_4.9 4.9 293.52 -9.317738
 B026    2012.300_4.7 4.7 445.17 -9.334086
 B035    2007.031_4.6 4.6 287.38 -9.342451
 B039    2011.244_4.8 4.8 478.89 -9.349620
 B035    2012.300_4.7 4.7 310.28 -9.380699
 B204    2013.201_4.8 4.8 496.59 -9.428154
 B035    2006.243_4.8 4.8 458.74 -9.456802
 B028    2009.219_5.0 5.0 479.49 -9.565490
