# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B079    2009.274_5.1 5.1 226.30 -7.124061
 B045    2013.089_4.9 4.9 208.52 -7.130907
 B088    2009.083_5.0 5.0  90.63 -7.131457
 B084    2009.083_5.0 5.0  82.25 -7.132457
 B019    2012.102_6.0 6.0 493.14 -7.132781
 B901    2009.276_5.2 5.2 226.99 -7.140477
 B089    2010.128_5.0 5.0 136.94 -7.142885
 B082    2008.042_5.1 5.1 176.56 -7.149161
 B057    2013.144_5.7 5.7 277.69 -7.151028
 B073    2010.188_5.5 5.5 458.99 -7.155518
 B073    2011.239_4.8 4.8  93.11 -7.158027
 B088    2010.142_5.1 5.1 116.67 -7.161321
 B087    2009.083_5.0 5.0  90.95 -7.161954
 B072    2013.149_4.9 4.9 156.16 -7.163597
 B023    2011.252_6.5 6.5 466.09 -7.164020
 B009    2012.313_6.2 6.2 397.47 -7.176113
 B012    2013.216_5.5 5.5 160.40 -7.179321
 B028    2013.144_5.7 5.7 498.62 -7.180896
 B073    2013.149_4.9 4.9 170.91 -7.185207
 B082    2010.128_5.0 5.0 136.78 -7.187418
 B093    2009.083_5.0 5.0 108.06 -7.192497
 B081    2010.095_5.0 5.0 140.32 -7.196904
 B035    2013.144_5.7 5.7 319.27 -7.198577
 B918    2012.239_5.5 5.5 380.48 -7.199313
 B013    2012.313_6.2 6.2 455.95 -7.200958
 B032    2008.121_5.4 5.4 316.32 -7.202155
 B012    2012.035_5.6 5.6 195.49 -7.204637
 B900    2010.188_5.5 5.5 407.93 -7.205498
 B027    2013.144_5.7 5.7 498.97 -7.205985
 B916    2012.239_5.5 5.5 408.24 -7.206675
 B086    2008.042_5.1 5.1 169.14 -7.208029
 B031    2010.035_5.9 5.9 391.50 -7.211733
 B087    2008.050_5.1 5.1 167.03 -7.211821
 B004    2012.035_5.6 5.6 281.57 -7.212288
 B089    2008.042_5.1 5.1 176.70 -7.225832
 B020    2012.102_6.0 6.0 461.57 -7.226799
 B087    2010.128_4.9 4.9 125.67 -7.227380
 B004    2008.360_5.8 5.8 348.21 -7.229296
 B018    2012.313_6.2 6.2 484.48 -7.231251
 B086    2010.257_5.0 5.0 201.01 -7.232796
