#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2010  1 10  0 27 47  B036 grants036bor2007 250.10 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B036 grants036bor2007 276.64 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B036 grants036bor2007 281.27 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B036 grants036bor2007 254.31 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B036 grants036bor2007 312.23 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B036 grants036bor2007 365.27 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B036 grants036bor2007 346.33 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B036 grants036bor2007 394.97 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B036 grants036bor2007 343.76 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B036 grants036bor2007 316.73 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  8  5 15 10  2  B036 grants036bor2007 488.21 217  142   43.89 -129.09 17.4  4.8 2011.217_4.8
 2011  9  1  2  6 22  B036 grants036bor2007 366.93 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B036 grants036bor2007 342.57 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2011 10 27  6 37 14  B036 grants036bor2007 408.56 300  147   39.65 -120.32 32.7  4.9 2011.300_4.9
 2012  2 13 21  7  6  B036 grants036bor2007 155.77 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B036 grants036bor2007 364.41 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B036 grants036bor2007 383.26 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B036 grants036bor2007 349.24 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B036 grants036bor2007 373.02 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  7 21  1 52  4  B036 grants036bor2007 291.78 203  158   40.39 -125.45 16.7  5.2 2012.203_5.2
 2012  7 21  6  4 27  B036 grants036bor2007 286.64 203  159   40.41 -125.38 19.0  5.4 2012.203_5.4
 2012  9 26  7 42 41  B036 grants036bor2007 276.75 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10 26 14 18 22  B036 grants036bor2007 310.45 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B036 grants036bor2007 378.02 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B036 grants036bor2007 285.73 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  3 30 21 43 21  B036 grants036bor2007 341.36 089  177   40.47 -126.44 26.2  4.9 2013.089_4.9
 2013  5 24  3 47 12  B036 grants036bor2007 319.37 144  178   40.23 -121.05 20.0  5.7 2013.144_5.7
 2013  7 20 17 20 56  B036 grants036bor2007 288.89 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8 10  5 10 19  B036 grants036bor2007 429.39 222  182   43.63 -128.43 19.6  4.8 2013.222_4.8
 2013 10 11 23  5 40  B036 grants036bor2007 226.16 284  183   40.83 -124.91 21.7  5.2 2013.284_5.2
 2013 12  1  3 19 40  B036 grants036bor2007 324.51 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 10  5 18 22  B036 grants036bor2007 245.31 069  185   40.80 -125.25 13.9  6.9 2014.069_6.9
 2014  3 13 19 11 36  B036 grants036bor2007 316.71 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B039 cofflt039bcn2007 363.45 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B039 cofflt039bcn2007 390.72 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B039 cofflt039bcn2007 374.16 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B039 cofflt039bcn2007 374.32 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B039 cofflt039bcn2007 233.18 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B039 cofflt039bcn2007 331.54 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2005  6 17  6 21 45  B039 cofflt039bcn2007 370.81 168   29   40.64 -126.76 16.2  6.6 2005.168_6.6
 2005  6 19  9 27 21  B039 cofflt039bcn2007 373.04 170   30   40.45 -126.71 15.5  4.9 2005.170_4.9
 2006  1 11 10  2 35  B039 cofflt039bcn2007 454.86 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 22  5 42  2  B039 cofflt039bcn2007 359.20 081   35   40.76 -126.66 12.9  5.0 2006.081_5.0
 2006  3 25 20 14  5  B039 cofflt039bcn2007 319.44 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B039 cofflt039bcn2007 320.27 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 12 10 37 32  B039 cofflt039bcn2007 297.76 132   38   38.80 -122.85 13.6  4.8 2006.132_4.8
 2006 10 17 20 53 18  B039 cofflt039bcn2007 339.16 290   42   40.46 -126.29 12.0  4.9 2006.290_4.9
 2007  1 31 15 24 50  B039 cofflt039bcn2007 389.99 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B039 cofflt039bcn2007 384.90 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B039 cofflt039bcn2007 478.41 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B039 cofflt039bcn2007 473.80 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B039 cofflt039bcn2007 223.66 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B039 cofflt039bcn2007 434.08 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B039 cofflt039bcn2007 247.29 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B039 cofflt039bcn2007 205.40 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 31  3  4 59  B039 cofflt039bcn2007 458.53 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2007 11 19 20 32 50  B039 cofflt039bcn2007 480.03 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B039 cofflt039bcn2007 497.21 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2007 12 11 19 17 25  B039 cofflt039bcn2007 337.09 345   58   40.50 -126.28 21.5  4.9 2007.345_4.9
 2008  1 19 23 13 10  B039 cofflt039bcn2007 138.77 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B039 cofflt039bcn2007 392.64 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4 12 12  5 15  B039 cofflt039bcn2007 496.51 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 26  6 40 14  B039 cofflt039bcn2007 304.07 117   73   39.56 -119.91 15.1  5.0 2008.117_5.0
 2008  4 30  3  3  8  B039 cofflt039bcn2007 121.90 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B039 cofflt039bcn2007 383.00 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B039 cofflt039bcn2007 402.10 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008 10 26  9 27 25  B039 cofflt039bcn2007 223.92 300   91   40.29 -124.63 22.4  5.0 2008.300_5.0
 2008 11 14  1 48 40  B039 cofflt039bcn2007 477.92 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2008 11 28 13 42 24  B039 cofflt039bcn2007 403.21 333   93   40.35 -127.04 22.8  5.9 2008.333_5.9
 2009  8  7 10 49 39  B039 cofflt039bcn2007 216.26 219   98   40.34 -124.57 18.5  5.0 2009.219_5.0
 2009 11  4 12 38 29  B039 cofflt039bcn2007 425.71 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2010  1 10  0 27 47  B039 cofflt039bcn2007 222.14 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B039 cofflt039bcn2007 250.64 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B039 cofflt039bcn2007 365.01 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B039 cofflt039bcn2007 383.59 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B039 cofflt039bcn2007 381.38 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B039 cofflt039bcn2007 478.66 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B039 cofflt039bcn2007 459.05 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  4 17  0 45 41  B039 cofflt039bcn2007 462.94 107  139   38.47 -118.71 12.9  4.8 2011.107_4.8
 2011  5 22  7 21 36  B039 cofflt039bcn2007 456.40 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B039 cofflt039bcn2007 390.68 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  9  1  2  6 22  B039 cofflt039bcn2007 478.89 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B039 cofflt039bcn2007 455.18 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2011 10 27  6 37 14  B039 cofflt039bcn2007 273.95 300  147   39.65 -120.32 32.7  4.9 2011.300_4.9
 2012  2 13 21  7  6  B039 cofflt039bcn2007 118.16 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B039 cofflt039bcn2007 477.91 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B039 cofflt039bcn2007 495.58 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B039 cofflt039bcn2007 462.86 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B039 cofflt039bcn2007 486.88 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  7 21  1 52  4  B039 cofflt039bcn2007 277.08 203  158   40.39 -125.45 16.7  5.2 2012.203_5.2
 2012  7 21  6  4 27  B039 cofflt039bcn2007 270.90 203  159   40.41 -125.38 19.0  5.4 2012.203_5.4
 2012  9 26  7 42 41  B039 cofflt039bcn2007 387.36 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10 26 14 18 22  B039 cofflt039bcn2007 389.63 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B039 cofflt039bcn2007 492.20 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B039 cofflt039bcn2007 395.95 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  3 30 21 43 21  B039 cofflt039bcn2007 351.13 089  177   40.47 -126.44 26.2  4.9 2013.089_4.9
 2013  5 24  3 47 12  B039 cofflt039bcn2007 183.93 144  178   40.23 -121.05 20.0  5.7 2013.144_5.7
 2013  7 20 17 20 56  B039 cofflt039bcn2007 401.43 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013 10 11 23  5 40  B039 cofflt039bcn2007 216.34 284  183   40.83 -124.91 21.7  5.2 2013.284_5.2
 2013 12  1  3 19 40  B039 cofflt039bcn2007 391.54 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 10  5 18 22  B039 cofflt039bcn2007 243.88 069  185   40.80 -125.25 13.9  6.9 2014.069_6.9
 2014  3 13 19 11 36  B039 cofflt039bcn2007 393.21 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B040 yorkmn040bcn2007 331.79 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B040 yorkmn040bcn2007 386.18 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B040 yorkmn040bcn2007 367.89 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B040 yorkmn040bcn2007 368.30 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B040 yorkmn040bcn2007 259.79 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B040 yorkmn040bcn2007 342.50 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2005  6 17  6 21 45  B040 yorkmn040bcn2007 386.89 168   29   40.64 -126.76 16.2  6.6 2005.168_6.6
 2005  6 19  9 27 21  B040 yorkmn040bcn2007 391.19 170   30   40.45 -126.71 15.5  4.9 2005.170_4.9
 2006  1 11 10  2 35  B040 yorkmn040bcn2007 441.79 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 22  5 42  2  B040 yorkmn040bcn2007 374.27 081   35   40.76 -126.66 12.9  5.0 2006.081_5.0
 2006  3 25 20 14  5  B040 yorkmn040bcn2007 322.71 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B040 yorkmn040bcn2007 322.29 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 12 10 37 32  B040 yorkmn040bcn2007 338.44 132   38   38.80 -122.85 13.6  4.8 2006.132_4.8
 2006 10 17 20 53 18  B040 yorkmn040bcn2007 358.57 290   42   40.46 -126.29 12.0  4.9 2006.290_4.9
 2007  1 31 15 24 50  B040 yorkmn040bcn2007 385.07 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B040 yorkmn040bcn2007 377.80 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B040 yorkmn040bcn2007 466.17 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B040 yorkmn040bcn2007 460.79 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B040 yorkmn040bcn2007 247.23 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B040 yorkmn040bcn2007 421.63 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B040 yorkmn040bcn2007 273.72 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B040 yorkmn040bcn2007 221.83 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 10  0 15 15  B040 yorkmn040bcn2007 492.68 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 10 31  3  4 59  B040 yorkmn040bcn2007 497.89 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2007 11 19 20 32 50  B040 yorkmn040bcn2007 467.65 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B040 yorkmn040bcn2007 484.70 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2007 12 11 19 17 25  B040 yorkmn040bcn2007 356.06 345   58   40.50 -126.28 21.5  4.9 2007.345_4.9
 2008  1 19 23 13 10  B040 yorkmn040bcn2007 179.10 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B040 yorkmn040bcn2007 388.73 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4 12 12  5 15  B040 yorkmn040bcn2007 483.96 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 26  6 40 14  B040 yorkmn040bcn2007 329.51 117   73   39.56 -119.91 15.1  5.0 2008.117_5.0
 2008  4 30  3  3  8  B040 yorkmn040bcn2007 152.22 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B040 yorkmn040bcn2007 371.00 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B040 yorkmn040bcn2007 390.15 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008 10 26  9 27 25  B040 yorkmn040bcn2007 253.14 300   91   40.29 -124.63 22.4  5.0 2008.300_5.0
 2008 11 14  1 48 40  B040 yorkmn040bcn2007 464.95 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2008 11 28 13 42 24  B040 yorkmn040bcn2007 421.32 333   93   40.35 -127.04 22.8  5.9 2008.333_5.9
 2009  8  7 10 49 39  B040 yorkmn040bcn2007 245.41 219   98   40.34 -124.57 18.5  5.0 2009.219_5.0
 2009 11  4 12 38 29  B040 yorkmn040bcn2007 412.49 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2010  1 10  0 27 47  B040 yorkmn040bcn2007 247.53 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B040 yorkmn040bcn2007 276.35 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B040 yorkmn040bcn2007 362.45 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B040 yorkmn040bcn2007 362.16 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B040 yorkmn040bcn2007 383.72 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B040 yorkmn040bcn2007 465.73 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B040 yorkmn040bcn2007 446.35 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B040 yorkmn040bcn2007 495.32 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  4 17  0 45 41  B040 yorkmn040bcn2007 488.60 107  139   38.47 -118.71 12.9  4.8 2011.107_4.8
 2011  5 22  7 21 36  B040 yorkmn040bcn2007 443.70 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B040 yorkmn040bcn2007 391.66 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  9  1  2  6 22  B040 yorkmn040bcn2007 466.57 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B040 yorkmn040bcn2007 442.54 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2011 10 27  6 37 14  B040 yorkmn040bcn2007 301.28 300  147   39.65 -120.32 32.7  4.9 2011.300_4.9
 2012  2 13 21  7  6  B040 yorkmn040bcn2007 139.46 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B040 yorkmn040bcn2007 464.95 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B040 yorkmn040bcn2007 483.21 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B040 yorkmn040bcn2007 449.77 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B040 yorkmn040bcn2007 473.75 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  7 21  1 52  4  B040 yorkmn040bcn2007 300.67 203  158   40.39 -125.45 16.7  5.2 2012.203_5.2
 2012  7 21  6  4 27  B040 yorkmn040bcn2007 294.59 203  159   40.41 -125.38 19.0  5.4 2012.203_5.4
 2012  9 26  7 42 41  B040 yorkmn040bcn2007 375.16 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10 26 14 18 22  B040 yorkmn040bcn2007 388.85 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B040 yorkmn040bcn2007 479.03 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B040 yorkmn040bcn2007 383.98 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  3 30 21 43 21  B040 yorkmn040bcn2007 369.86 089  177   40.47 -126.44 26.2  4.9 2013.089_4.9
 2013  5 24  3 47 12  B040 yorkmn040bcn2007 212.55 144  178   40.23 -121.05 20.0  5.7 2013.144_5.7
 2013  7 20 17 20 56  B040 yorkmn040bcn2007 388.49 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013 10 11 23  5 40  B040 yorkmn040bcn2007 236.85 284  183   40.83 -124.91 21.7  5.2 2013.284_5.2
 2013 12  1  3 19 40  B040 yorkmn040bcn2007 394.71 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 10  5 18 22  B040 yorkmn040bcn2007 263.24 069  185   40.80 -125.25 13.9  6.9 2014.069_6.9
 2014  3 13 19 11 36  B040 yorkmn040bcn2007 393.39 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B045 rdcrst045bcn2008 432.91 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B045 rdcrst045bcn2008 334.33 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B045 rdcrst045bcn2008 327.20 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B045 rdcrst045bcn2008 326.26 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B045 rdcrst045bcn2008  76.40 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B045 rdcrst045bcn2008 219.95 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2005  6 17  6 21 45  B045 rdcrst045bcn2008 235.46 168   29   40.64 -126.76 16.2  6.6 2005.168_6.6
 2005  6 19  9 27 21  B045 rdcrst045bcn2008 230.44 170   30   40.45 -126.71 15.5  4.9 2005.170_4.9
 2006  1 11 10  2 35  B045 rdcrst045bcn2008 428.10 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 22  5 42  2  B045 rdcrst045bcn2008 228.42 081   35   40.76 -126.66 12.9  5.0 2006.081_5.0
 2006  3 25 20 14  5  B045 rdcrst045bcn2008 241.28 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B045 rdcrst045bcn2008 247.23 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 12 10 37 32  B045 rdcrst045bcn2008 206.82 132   38   38.80 -122.85 13.6  4.8 2006.132_4.8
 2006 10 17 20 53 18  B045 rdcrst045bcn2008 194.76 290   42   40.46 -126.29 12.0  4.9 2006.290_4.9
 2007  1 31 15 24 50  B045 rdcrst045bcn2008 335.29 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B045 rdcrst045bcn2008 339.98 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B045 rdcrst045bcn2008 446.06 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B045 rdcrst045bcn2008 445.12 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B045 rdcrst045bcn2008  81.01 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B045 rdcrst045bcn2008 406.53 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B045 rdcrst045bcn2008  88.73 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B045 rdcrst045bcn2008 105.00 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 10  0 15 15  B045 rdcrst045bcn2008 471.16 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 10 31  3  4 59  B045 rdcrst045bcn2008 390.64 304   55   37.37 -121.78 13.9  5.6 2007.304_5.6
 2007 11 19 20 32 50  B045 rdcrst045bcn2008 448.18 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B045 rdcrst045bcn2008 464.57 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2007 12 11 19 17 25  B045 rdcrst045bcn2008 194.64 345   58   40.50 -126.28 21.5  4.9 2007.345_4.9
 2008  1 10  1 37 24  B045 rdcrst045bcn2008 491.37 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  1 19 23 13 10  B045 rdcrst045bcn2008 114.79 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B045 rdcrst045bcn2008 333.39 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4 12 12  5 15  B045 rdcrst045bcn2008 464.00 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 26  6 40 14  B045 rdcrst045bcn2008 362.07 117   73   39.56 -119.91 15.1  5.0 2008.117_5.0
 2008  4 30  3  3  8  B045 rdcrst045bcn2008  60.84 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B045 rdcrst045bcn2008 359.26 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  7 12 15 46  2  B045 rdcrst045bcn2008 375.87 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008 10 26  9 27 25  B045 rdcrst045bcn2008  60.42 300   91   40.29 -124.63 22.4  5.0 2008.300_5.0
 2008 11 14  1 48 40  B045 rdcrst045bcn2008 448.72 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2008 11 28 13 42 24  B045 rdcrst045bcn2008 259.09 333   93   40.35 -127.04 22.8  5.9 2008.333_5.9
 2009  8  7 10 49 39  B045 rdcrst045bcn2008  53.11 219   98   40.34 -124.57 18.5  5.0 2009.219_5.0
 2009 11  4 12 38 29  B045 rdcrst045bcn2008 402.37 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2010  1 10  0 27 47  B045 rdcrst045bcn2008  72.21 010  109   40.53 -124.81 19.0  6.5 2010.010_6.5
 2010  2  4 20 20 24  B045 rdcrst045bcn2008  93.98 035  110   40.37 -125.08 18.5  5.9 2010.035_5.9
 2010  5 13  5 35 14  B045 rdcrst045bcn2008 303.77 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B045 rdcrst045bcn2008 401.41 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B045 rdcrst045bcn2008 297.87 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B045 rdcrst045bcn2008 449.30 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B045 rdcrst045bcn2008 430.34 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B045 rdcrst045bcn2008 474.62 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B045 rdcrst045bcn2008 427.88 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B045 rdcrst045bcn2008 311.47 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  8 27  7 18 24  B045 rdcrst045bcn2008 498.48 239  143   36.51 -121.21 19.0  4.8 2011.239_4.8
