sta4 year mo dy hr mi sec geodkm
B934 2004 12 22 20 47 27 398.64
B935 2004 12 22 20 47 27 358.97
B001 2005 2 28 12 49 26 454.86
B003 2005 2 28 12 49 26 379.73
B004 2005 2 28 12 49 26 358.21
B005 2005 2 28 12 49 26 427.14
B006 2005 2 28 12 49 26 427.33
B007 2005 2 28 12 49 26 427.09
B009 2005 2 28 12 49 26 433.15
B010 2005 2 28 12 49 26 433.15
B011 2005 2 28 12 49 26 433.38
B012 2005 2 28 12 49 26 288.88
B013 2005 2 28 12 49 26 473.21
B014 2005 2 28 12 49 26 411.10
B017 2005 2 28 12 49 26 444.02
B018 2005 2 28 12 49 26 483.49
B019 2005 2 28 12 49 26 450.46
B020 2005 2 28 12 49 26 449.57
B022 2005 2 28 12 49 26 467.17
B024 2005 2 28 12 49 26 491.61
B926 2005 2 28 12 49 26 386.47
B927 2005 2 28 12 49 26 349.60
B928 2005 2 28 12 49 26 314.87
B943 2005 2 28 12 49 26 473.17
B001 2005 2 28 13 50 26 450.44
B003 2005 2 28 13 50 26 375.30
B004 2005 2 28 13 50 26 353.84
B005 2005 2 28 13 50 26 422.72
B006 2005 2 28 13 50 26 422.90
B007 2005 2 28 13 50 26 422.66
B009 2005 2 28 13 50 26 428.97
B010 2005 2 28 13 50 26 428.97
B011 2005 2 28 13 50 26 429.20
B012 2005 2 28 13 50 26 285.10
B013 2005 2 28 13 50 26 468.72
B014 2005 2 28 13 50 26 406.54
B017 2005 2 28 13 50 26 439.42
B018 2005 2 28 13 50 26 478.90
B019 2005 2 28 13 50 26 445.87
B020 2005 2 28 13 50 26 445.02
B022 2005 2 28 13 50 26 462.72
B024 2005 2 28 13 50 26 487.22
B926 2005 2 28 13 50 26 382.42
B927 2005 2 28 13 50 26 345.92
B928 2005 2 28 13 50 26 310.93
B943 2005 2 28 13 50 26 468.68
B001 2005 3 1 0 32 27 446.55
B003 2005 3 1 0 32 27 371.44
B004 2005 3 1 0 32 27 349.71
B005 2005 3 1 0 32 27 418.83
B006 2005 3 1 0 32 27 419.02
B007 2005 3 1 0 32 27 418.78
B009 2005 3 1 0 32 27 424.11
B010 2005 3 1 0 32 27 424.12
B011 2005 3 1 0 32 27 424.34
B012 2005 3 1 0 32 27 279.30
