# 
# Barbour and Crowell (2016)
# Regression biases estimated by linear mixed-effects regression (lme)
# 
# 	'LME'		the lmer identifier
# 	'Effect'	the random effect identifier (group)
# 	'Term'		the identifier within the random effect group (e.g., station name or earthquake ID)
# 	'Bias'		fixed mean bias estimate
# 	'Std.error'	standard error associated with 'Bias' from the conditional covariance matrix
#  
 LME                    Effect     Term         Bias       Std.error
 Station.and.Earthquake Station    B079         -0.127     0.0489   
 Station.and.Earthquake Station    B927         -0.121     0.0483   
 Station.and.Earthquake Station    B003         -0.109     0.0483   
 Station.and.Earthquake Station    B012         -0.109     0.0472   
 Station.and.Earthquake Station    B006         -0.102     0.0496   
 Station.and.Earthquake Station    B926         -0.101     0.0495   
 Station.and.Earthquake Station    B084         -0.0829    0.0387   
 Station.and.Earthquake Station    B040         -0.078     0.0305   
 Station.and.Earthquake Station    B066         -0.0741    0.0438   
 Station.and.Earthquake Station    B934         -0.0635    0.0368   
 Station.and.Earthquake Station    B009         -0.063     0.0497   
 Station.and.Earthquake Station    B026         -0.0563    0.0273   
 Station.and.Earthquake Station    B032         -0.0546    0.028    
 Station.and.Earthquake Station    B075         -0.0528    0.0475   
 Station.and.Earthquake Station    B933         -0.0468    0.0328   
 Station.and.Earthquake Station    B031         -0.0454    0.0274   
 Station.and.Earthquake Station    B204         -0.0312    0.0833   
 Station.and.Earthquake Station    B028         -0.0261    0.0299   
 Station.and.Earthquake Station    B014         -0.021     0.0469   
 Station.and.Earthquake Station    B941         -0.0189    0.071    
 Station.and.Earthquake Station    B033         -0.0055    0.0303   
 Station.and.Earthquake Station    B081          0.00435   0.0374   
 Station.and.Earthquake Station    B917          0.00748   0.0385   
 Station.and.Earthquake Station    B918          0.0122    0.0383   
 Station.and.Earthquake Station    B005          0.0126    0.0483   
 Station.and.Earthquake Station    B201          0.0181    0.0928   
 Station.and.Earthquake Station    B202          0.0233    0.107    
 Station.and.Earthquake Station    B093          0.03      0.0399   
 Station.and.Earthquake Station    B018          0.0305    0.0505   
 Station.and.Earthquake Station    B916          0.0343    0.0395   
 Station.and.Earthquake Station    B011          0.037     0.0472   
 Station.and.Earthquake Station    B027          0.0499    0.0299   
 Station.and.Earthquake Station    B082          0.0549    0.0378   
 Station.and.Earthquake Station    B078          0.0553    0.0487   
 Station.and.Earthquake Station    B088          0.0571    0.0387   
