eqnum	year	mo	dy	hr	mi	sec	nlat	elon	depkm	Mw
175	2013	2	13	0	10	20.0	38.06	-118.04	16.2	5.3
176	2013	2	27	22	25	43.2	43.03	-126.80	12.0	5.2
177	2013	3	30	21	43	20.7	40.47	-126.44	26.2	4.9
178	2013	5	24	3	47	12.5	40.23	-121.05	20.0	5.7
179	2013	5	29	14	38	6.9	34.45	-120.06	17.0	4.9
180	2013	7	20	17	20	56.5	43.13	-126.81	16.2	4.8
181	2013	8	4	13	22	31.1	49.52	-127.52	26.2	5.5
182	2013	8	10	5	10	18.8	43.63	-128.43	19.6	4.8
183	2013	10	11	23	5	39.6	40.83	-124.91	21.7	5.2
184	2013	12	1	3	19	40.0	41.74	-127.17	14.4	5.5
185	2014	3	10	5	18	21.7	40.80	-125.25	13.9	6.9
186	2014	3	13	19	11	36.4	42.00	-127.16	12.3	5.5
